m,y,url
9,2010,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2010_09.html
10,2010,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2010_10.html
11,2010,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2010_11.html
12,2010,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2010_12.html
1,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_01.html
2,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_02.html
3,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_03.html
4,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_04.html
5,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_05.html
6,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_06.html
7,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_07.html
8,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_08.html
9,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_09.html
10,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_10.html
11,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_11.html
12,2011,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2011_12.html
1,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_01.html
2,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_02.html
3,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_03.html
4,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_04.html
5,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_05.html
6,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_06.html
7,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_07.html
8,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_08.html
9,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_09.html
10,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_10.html
11,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_11.html
12,2012,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2012_12.html
1,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_01.html
2,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_02.html
3,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_03.html
4,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_04.html
5,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_05.html
6,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_06.html
7,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_07.html
8,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_08.html
9,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_09.html
10,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_10.html
11,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_11.html
12,2013,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2013_12.html
1,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_01.html
2,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_02.html
3,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_03.html
4,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_04.html
5,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_05.html
6,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_06.html
7,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_07.html
8,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_08.html
9,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_09.html
10,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_10.html
11,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_11.html
12,2014,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2014_12.html
1,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_01.html
2,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_02.html
3,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_03.html
4,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_04.html
5,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_05.html
6,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_06.html
7,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_07.html
8,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_08.html
9,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_09.html
10,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_10.html
11,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_11.html
12,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_12.html
1,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_01.html
2,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_02.html
3,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_03.html
4,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_04.html
5,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_05.html
6,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_06.html
7,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_07.html
8,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_08.html
9,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_09.html
10,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_10.html
11,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_11.html
12,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_12.html
1,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_01.html
2,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_02.html
3,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_03.html
4,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_04.html
5,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_05.html
6,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_06.html
7,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_07.html
8,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_08.html
9,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_09.html
10,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_10.html
11,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_11.html
12,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_12.html
1,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_01.html
2,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_02.html
3,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_03.html
4,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_04.html
5,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_05.html
6,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_06.html
7,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_07.html
8,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_08.html
9,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_09.html
10,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_10.html
11,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_11.html
12,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_12.html
